ID tache;Composant;Titre;Description;Priorite;Statut
TSK-001;Regex Engine;Correction regex JWT;Ajouter le point de séparation '\.' manquant entre l'en-tête et le corps du JWT dans regex_patterns.json. Actuellement, la regex cherche eyJ...eyJ... collés.;Haute;À faire
TSK-002;Regex Engine;Réduction des FP pour AWS Secret Key;La regex actuelle (40 caractères alphanumériques) détecte tous les commits Git SHA et IDs de trace. Ajouter un filtre d'entropie, de contexte ou affiner le motif regex.;Haute;À faire
TSK-003;Regex Engine;Réduction des FP pour Heroku API Key (UUID);La regex détecte tout UUID générique (IDs de session, requêtes). Restreindre la détection en vérifiant la présence de mots-clés de contexte comme 'heroku' dans la ligne.;Haute;À faire
TSK-004;Regex Engine;Correction de la frontière de mot pour Generic Password;La regex utilise '\b' ce qui empêche de détecter les variables comme 'GENERIC_API_SECRET' à cause de l'underscore '_'. Ajuster pour accepter les underscores.;Haute;À faire
TSK-005;Benchmark / Tests;Correction du repo et de la ground truth du benchmark;Corriger les anomalies du benchmark : 1) La longueur du token GitHub classique factice dans api_clients.js (38 au lieu de 36 caractères). 2) La ligne 7 de cloud_config.py marquée comme GCP API Key alors qu'il s'agit d'une clé de compte de service base64.;Moyenne;À faire
TSK-006;Base de données;Modèles SQLAlchemy dans app/models/audit.py;Définir les tables de base de données pour stocker les rapports de scan (historique) et les findings associés afin de remplacer le stockage en mémoire volatile.;Haute;À faire
TSK-007;Base de données;Schémas Pydantic dans app/schemas/audit_schema.py;Définir les schémas de validation de données Pydantic pour les scans et findings persistés pour les requêtes/réponses de l'API.;Haute;À faire
TSK-008;API;Intégration de la persistance DB dans les endpoints;Modifier app/api/endpoints.py pour utiliser 'get_db' et stocker/lire les résultats des scans dans la base SQLite au lieu de history_store.;Haute;À faire
TSK-009;LLM Engine;Implémentation du moteur de validation LLM;Implémenter le service app/services/llm_engine.py pour valider et classifier les findings douteux (severity Ambiguous) via un appel API LLM.;Moyenne;À faire
TSK-010;Core Engine;Implémentation du scan de dossier local direct;Remplacer l'exception NotImplementedError dans scan_orchestrator.py pour permettre le scan récursif de dossiers locaux complets sur le disque.;Moyenne;À faire
TSK-011;Sécurité;Authentification et restrictions CORS;Sécuriser les endpoints de l'API avec une méthode d'authentification (ex: clé API ou OAuth) et restreindre les origines CORS dans main.py.;Moyenne;À faire
